coin,actual_price,forecast_price
ADAUSDT,0.4835,0.48267621329426763
ADAUSDT,0.4512,0.4970782321792994
ADAUSDT,0.4615,0.5142532683771459
ADAUSDT,0.4442,0.5120661338900068
ADAUSDT,0.4168,0.513820999204618
ADAUSDT,0.3846,0.6555791934359159
ADAUSDT,0.4594,0.6508427660575741
ADAUSDT,0.3501,0.6390649020286627
ADAUSDT,0.3959,0.6577190947195767
ADAUSDT,0.4234,0.6552959895079896
ADAUSDT,0.4063,0.5536165076803321
ADAUSDT,0.4015,0.5641932615792355
ADAUSDT,0.331,0.5632134268401088
ADAUSDT,0.339,0.3736231953956175
ADAUSDT,0.3342,0.3758429923434928
ADAUSDT,0.3849,0.3712600160302213
ADAUSDT,0.345,0.5585577847970642
ADAUSDT,0.4662,0.5509530470526655
ADAUSDT,0.3606,0.5386034770838085
ADAUSDT,0.3441,0.5405078429965208
ADAUSDT,0.3809,0.5414420006908324
ADAUSDT,0.352,0.5264598347342927
ADAUSDT,0.3512,0.5348114129755732
ADAUSDT,0.3643,0.5304468763188135
ADAUSDT,0.3649,0.7669822247679465
ADAUSDT,0.4695,0.7737998989961434
ADAUSDT,0.3482,0.7662762366362057
ADAUSDT,0.4447,0.7732380842780022
ADAUSDT,0.7071,0.7542814359755484
ADAUSDT,0.8218,0.713518887128848
ADAUSDT,1.0116,0.6864429865803813
ADAUSDT,1.1871,0.6876878721626909
ADAUSDT,1.0215,0.7653283376568278
ADAUSDT,1.0775,0.7504001795422838
ADAUSDT,0.9264,0.749115297356961
ADAUSDT,0.8771,0.8885365535506199
ADAUSDT,0.4383,0.8889884159975774
BCHUSDT,499.0,497.95341324806213
BCHUSDT,465.8,566.4627527353589
BCHUSDT,477.0,564.7256046514196
BCHUSDT,474.6,577.5046584798201
BCHUSDT,428.4,598.159417904875
BCHUSDT,392.1,168.87920793589097
BCHUSDT,112.8,154.54096696885082
BCHUSDT,325.5,147.46438613631074
BCHUSDT,347.1,132.01284531492306
BCHUSDT,382.8,134.62831368021133
BCHUSDT,362.4,155.14075996740516
BCHUSDT,432.4,153.75195502754002
BCHUSDT,315.0,156.7170558848724
BCHUSDT,354.9,417.6943652224499
BCHUSDT,333.1,423.3220253600802
BCHUSDT,356.3,425.03618372311627
BCHUSDT,322.4,134.18970973979089
BCHUSDT,104.6,137.98688490521326
BCHUSDT,335.5,134.49057402979204
BCHUSDT,327.0,131.99876680780022
BCHUSDT,343.5,130.29292284504544
BCHUSDT,317.8,311.12024140786303
BCHUSDT,323.7,320.14433685941725
BCHUSDT,369.6,350.8403966163422
BCHUSDT,369.9,110.60067125542525
BCHUSDT,108.1,114.41005292436782
BCHUSDT,353.7,109.04063056898521
BCHUSDT,377.0,109.13354496280444
BCHUSDT,431.6,106.00192675208294
BCHUSDT,484.4,130.23701525228518
BCHUSDT,517.4,131.6429234692588
BCHUSDT,583.7,132.42329223310566
BCHUSDT,516.2,468.274083987189
BCHUSDT,538.1,474.36539255359213
BCHUSDT,460.9,484.469921087912
BCHUSDT,441.3,354.39787593940156
BCHUSDT,102.5,361.7801229160035
BNBUSDT,614.8,621.6519433498382
BNBUSDT,595.7,615.9071559578834
BNBUSDT,685.7,620.4043913891651
BNBUSDT,673.0,650.7102213747753
BNBUSDT,610.8,631.2364066208553
BNBUSDT,591.1,251.06199012399412
BNBUSDT,214.4,250.76814797294386
BNBUSDT,497.7,248.92474107578624
BNBUSDT,524.8,249.61193484545973
BNBUSDT,571.9,244.64732941254542
BNBUSDT,574.9,249.29849983192508
BNBUSDT,588.2,241.76506273841156
BNBUSDT,484.8,244.13495525739884
BNBUSDT,518.2,603.2993140673444
BNBUSDT,531.2,609.5907779186308
BNBUSDT,573.9,568.2708147174417
BNBUSDT,532.9,198.6807980569968
BNBUSDT,219.7,205.2457419627121
BNBUSDT,556.4,203.1229677702972
BNBUSDT,559.5,215.32350670843115
BNBUSDT,587.4,201.9984170003428
BNBUSDT,547.3,499.2331477329341
BNBUSDT,564.3,506.6447467156517
BNBUSDT,589.1,499.5021050477985
BNBUSDT,605.9,184.00928494089695
BNBUSDT,231.5,182.26495377854647
BNBUSDT,568.6,175.13281165493805
BNBUSDT,597.82,175.6462927357864
BNBUSDT,619.37,168.46111491912006
BNBUSDT,621.86,179.39141654105526
BNBUSDT,644.14,181.38979215969331
BNBUSDT,739.53,187.81023997030033
BNBUSDT,676.8,441.99337845824186
BNBUSDT,720.58,447.29533388406924
BNBUSDT,694.16,468.5641038156648
BNBUSDT,691.85,215.5490013524751
BNBUSDT,230.5,217.68729905878692
BTCUSDT,69166.62,72599.21410924672
BTCUSDT,67652.42,67009.58364595001
BTCUSDT,70537.84,66667.92184674316
BTCUSDT,69648.14,67086.66428102822
BTCUSDT,66676.87,66423.3557771462
BTCUSDT,64262.01,28025.180044819033
BTCUSDT,19987.99,28214.31959491571
BTCUSDT,56628.79,27976.11624313778
BTCUSDT,57339.89,28245.42520820873
BTCUSDT,63987.92,27740.465395135496
BTCUSDT,65376.0,26690.38399285707
BTCUSDT,66188.0,26741.66412405558
BTCUSDT,56022.01,26180.807299121363
BTCUSDT,59346.64,73387.69844410066
BTCUSDT,58427.35,74369.53333359401
BTCUSDT,64220.0,73883.32056544293
BTCUSDT,58973.99,29459.43768153714
BTCUSDT,20123.01,29061.416425982898
BTCUSDT,60498.0,29129.651067287647
BTCUSDT,61759.99,29166.89389800481
BTCUSDT,63152.01,29590.95146674428
BTCUSDT,60805.78,51042.180232916115
BTCUSDT,62224.0,50737.765632071416
BTCUSDT,66083.99,52264.463701225206
BTCUSDT,69031.99,22709.218344507197
BTCUSDT,20236.71,22995.15833340884
BTCUSDT,69374.74,23173.494955610826
BTCUSDT,76509.78,23495.7621988211
BTCUSDT,91032.07,27099.45903164917
BTCUSDT,98317.12,30621.04468552379
BTCUSDT,95863.11,31279.64510472281
BTCUSDT,98587.32,30977.22067668946
BTCUSDT,96593.0,52710.22063378686
BTCUSDT,106058.66,54841.88285938007
BTCUSDT,94881.47,57842.5258398403
BTCUSDT,94299.03,28495.334412859338
BTCUSDT,20234.87,28933.729242289963
ETHUSDT,3737.73,3937.926898244619
ETHUSDT,3767.43,3833.7706947857646
ETHUSDT,3810.23,3891.731936340443
ETHUSDT,3706.4,3951.282995921786
ETHUSDT,3624.41,4097.952204838227
ETHUSDT,3495.75,1433.7547972796037
ETHUSDT,1050.19,1422.6893813955764
ETHUSDT,2981.78,1445.3188145696636
ETHUSDT,3099.57,1444.80485730478
ETHUSDT,3426.5,1468.2152688789745
ETHUSDT,3335.81,1484.1152308137844
ETHUSDT,3279.21,1508.1058034348414
ETHUSDT,2461.33,1504.4264214237737
ETHUSDT,2722.3,3125.7251038656946
ETHUSDT,2612.15,3166.495943248674
ETHUSDT,2746.13,3132.814916130915
ETHUSDT,2513.01,1457.0385758592288
ETHUSDT,1100.21,1423.5787067491622
ETHUSDT,2439.19,1411.8094083780297
ETHUSDT,2374.75,1450.0490323630308
ETHUSDT,2579.95,1449.0155065188742
ETHUSDT,2447.79,3167.437503675779
ETHUSDT,2422.71,3229.747826405317
ETHUSDT,2629.79,3285.7125889502827
ETHUSDT,2746.91,1623.0440571234692
ETHUSDT,1151.0,1657.862678095128
ETHUSDT,2494.23,1663.8748603940664
ETHUSDT,2961.75,1692.3780572520373
ETHUSDT,3090.01,1737.4957891610213
ETHUSDT,3355.81,1936.5105949015285
ETHUSDT,3653.28,1905.018377051967
ETHUSDT,3837.8,1948.7802087282914
ETHUSDT,3628.25,4874.36053381382
ETHUSDT,3986.24,4926.754949546855
ETHUSDT,3422.53,4916.0490788472325
ETHUSDT,3333.51,4441.37617741707
ETHUSDT,1115.0,4531.567487950431
SOLUSDT,176.95,188.22871128320693
SOLUSDT,168.32,186.1171931160483
SOLUSDT,171.78,198.82558225648197
SOLUSDT,162.12,205.8904182970708
SOLUSDT,151.3,207.78237188508103
SOLUSDT,133.69,55.70187017106404
SOLUSDT,34.12,55.0063145974237
SOLUSDT,134.32,56.9178356484639
SOLUSDT,135.73,56.67425270349114
SOLUSDT,159.22,57.419051637031195
SOLUSDT,178.06,59.39747647557564
SOLUSDT,179.16,57.709072634993355
SOLUSDT,144.4,58.98731024496928
SOLUSDT,146.29,137.50901689237662
SOLUSDT,142.42,144.90934429783692
SOLUSDT,158.92,147.84487597531054
SOLUSDT,135.35,37.06500075978697
SOLUSDT,34.05,37.95071407387959
SOLUSDT,139.02,36.59454036108973
SOLUSDT,134.34,35.33327844415805
SOLUSDT,147.98,35.08183981968972
SOLUSDT,145.13,74.12136709149598
SOLUSDT,143.96,73.87176460222909
SOLUSDT,157.59,76.90323750714552
SOLUSDT,167.4,16.100278719849776
SOLUSDT,36.71,16.385370036641284
SOLUSDT,166.17,14.925501878338341
SOLUSDT,199.85,15.663497370867201
SOLUSDT,218.45,14.946789324687257
SOLUSDT,256.37,15.82053938690054
SOLUSDT,241.96,16.521537641542384
SOLUSDT,229.15,16.38874762779554
SOLUSDT,213.6,85.04530068773794
SOLUSDT,216.19,85.25941925788986
SOLUSDT,190.11,88.16310110202966
SOLUSDT,184.22,42.32350047396767
SOLUSDT,34.94,41.464185799384566
TRXUSDT,0.12007,0.1192987478673458
TRXUSDT,0.1121,0.1189345276555709
TRXUSDT,0.11446,0.11983439751905378
TRXUSDT,0.11688,0.11977883455924562
TRXUSDT,0.1173,0.11954203577304288
TRXUSDT,0.11966,0.06255417316932245
TRXUSDT,0.0631,0.06187150366192242
TRXUSDT,0.12684,0.0599628972669044
TRXUSDT,0.13435,0.06039558098921721
TRXUSDT,0.13449,0.06130854076124825
TRXUSDT,0.1343,0.06381146251081633
TRXUSDT,0.133,0.06422316418694787
TRXUSDT,0.1234,0.0634738755126655
TRXUSDT,0.1267,0.10538299795168897
TRXUSDT,0.1351,0.10544135137879936
TRXUSDT,0.1664,0.10370754632264918
TRXUSDT,0.1577,0.06424523438524332
TRXUSDT,0.06492,0.06413316950008692
TRXUSDT,0.149,0.06422298612702754
TRXUSDT,0.1496,0.06332437353556138
TRXUSDT,0.15,0.06404065405639335
TRXUSDT,0.1536,0.10823582413223348
TRXUSDT,0.1559,0.11100383082836995
TRXUSDT,0.1606,0.1124576268419789
TRXUSDT,0.1567,0.07006288741542296
TRXUSDT,0.06733,0.07055217289289077
TRXUSDT,0.1661,0.07044764751696274
TRXUSDT,0.1609,0.07152846352216713
TRXUSDT,0.1912,0.06490136016973361
TRXUSDT,0.1985,0.07712214790538938
TRXUSDT,0.2011,0.07290759653291295
TRXUSDT,0.3306,0.07108881942609618
TRXUSDT,0.2694,0.10590160464941807
TRXUSDT,0.2967,0.10420870941246449
TRXUSDT,0.2526,0.09557474668605836
TRXUSDT,0.2594,0.0910215291255283
TRXUSDT,0.06624,0.08878431742846381
XRPUSDT,0.5268,0.5530069028377533
XRPUSDT,0.5238,0.5471078319561384
XRPUSDT,0.5257,0.547999980931669
XRPUSDT,0.4986,0.6252524482600542
XRPUSDT,0.4891,0.6296997072782232
XRPUSDT,0.4866,0.4066500461589045
XRPUSDT,0.3223,0.40612645188097873
XRPUSDT,0.4251,0.40020923878968334
XRPUSDT,0.4491,0.4045773004842895
XRPUSDT,0.5697,0.3826069885674599
XRPUSDT,0.6179,0.4004472322101738
XRPUSDT,0.6277,0.40052781231690554
XRPUSDT,0.5062,0.40525893098008037
XRPUSDT,0.5684,0.666715380111946
XRPUSDT,0.5631,0.6699148733224747
XRPUSDT,0.6,0.6725092077549281
XRPUSDT,0.5662,0.4007114385946457
XRPUSDT,0.3296,0.39559208567289894
XRPUSDT,0.5728,0.3966307933201071
XRPUSDT,0.5852,0.40120741449594777
XRPUSDT,0.5831,0.40787396726421954
XRPUSDT,0.5967,0.6237422960109219
XRPUSDT,0.5286,0.7830103516628864
XRPUSDT,0.5483,0.7855908875732629
XRPUSDT,0.5482,0.5123358611150404
XRPUSDT,0.3287,0.5152354059508983
XRPUSDT,0.5103,0.5207705298133417
XRPUSDT,0.5537,0.5340523198588875
XRPUSDT,0.8922,0.5448401842578543
XRPUSDT,1.247,0.9621313415059679
XRPUSDT,1.4696,0.9830361098332331
XRPUSDT,2.3574,0.9930848981921837
XRPUSDT,2.3709,0.8129990810156486
XRPUSDT,2.4841,0.805392643824349
XRPUSDT,2.2617,0.6306412519856435
XRPUSDT,2.1466,0.5431718688798998
XRPUSDT,0.3237,0.5582756533174437
